contact_id	error_field	error_message
194	state	'NJX'  incorrect state code
201	address	'4252 N Washington Ave #9'   length is not over expected length  20
201	mobilePhone	'8177655781'  invalid format    XXX-XXX-XXX
201	email	'barrett.toyama.org'  invalid format    
209	city	'South San Francisco'   length is not over expected length  15
213	lastName	'Silvestrini'   length is not over expected length  10
214	address	'2026 N Plankinton Ave #3'   length is not over expected length  20
217	address	'383 Gunderman Rd #197'   length is not over expected length  20
224	lastName	'Modzelewski'   length is not over expected length  10
224	address	'77132 Coon Rapids Blvd Nw'   length is not over expected length  20
228	address	'75684 S Withlapopka Dr #32'   length is not over expected length  20
228	state	'TXX'  incorrect state code
231	zipCode	'142'  invalid format    
237	email	'taryn.moydhotmail.com'  invalid format    
238	mobilePhone	'978-6266-2978'  invalid format    XXX-XXX-XXX
241	address	'433 Westminster Blvd #590'   length is not over expected length  20
243	mobilePhone	'207627-7565'  invalid format    XXX-XXX-XXX
246	mobilePhone	'619-6048-1763'  invalid format    XXX-XXX-XXX
246	state	'CAX'  incorrect state code
248	address	'18 Waterloo Geneva Rd'   length is not over expected length  20
256	address	'67 E Chestnut Hill Rd'   length is not over expected length  20
257	mobilePhone	'336-8422-7652'  invalid format    XXX-XXX-XXX
258	address	'8100 Jacksonville Rd #7'   length is not over expected length  20
258	mobilePhone	'7185-629-8542'  invalid format    XXX-XXX-XXX
259	address	'7 W Wabansia Ave #227'   length is not over expected length  20
260	address	'25 Minters Chapel Rd #9'   length is not over expected length  20
265	address	'669 Packerland Dr #1438'   length is not over expected length  20
267	address	'5 S Colorado Blvd #449'   length is not over expected length  20
267	state	'WAX'  incorrect state code
272	city	'Huntington Beach'   length is not over expected length  15
274	mobilePhone	'317-8125-4724'  invalid format    XXX-XXX-XXX
276	dayOfBirth	'11/2/1917'  Datetime is not format    MM/dd/yyyy
277	email	'aol.com'  invalid format    
278	zipCode	'132'  invalid format    
282	address	'42744 Hamann Industrial Pky #82'   length is not over expected length  20
285	mobilePhone	'701-8984-2154'  invalid format    XXX-XXX-XXX
287	lastName	'Nicolozakes'   length is not over expected length  10
295	address	'57254 Brickell Ave #372'   length is not over expected length  20
296	address	'8977 Connecticut Ave Nw #3'   length is not over expected length  20
299	address	'7563 Cornwall Rd #4462'   length is not over expected length  20
300	email	'tresa_sweely@'  invalid format    
302	address	'3211 E Northeast Loop'   length is not over expected length  20
303	lastName	'Monterrubio'   length is not over expected length  10
304	mobilePhone	'760-4938-6069'  invalid format    XXX-XXX-XXX
306	mobilePhone	'602-390-49441'  invalid format    XXX-XXX-XXX
307	address	'34 Saint George Ave #2'   length is not over expected length  20
308	address	'47857 Coney Island Ave'   length is not over expected length  20
309	state	'PAX'  incorrect state code
314	address	'2845 Boulder Crescent St'   length is not over expected length  20
318	address	'1 Rancho Del Mar Shopping C'   length is not over expected length  20
320	firstName	''  Do not leave field empty.
323	mobilePhone	'210-2856-4979'  invalid format    XXX-XXX-XXX
324	address	'64 Newman Springs Rd E'   length is not over expected length  20
326	address	'80 Pittsford Victor Rd #9'   length is not over expected length  20
327	mobilePhone	'212-304-45515'  invalid format    XXX-XXX-XXX
327	state	'NYX'  incorrect state code
334	mobilePhone	'208-2522-4552'  invalid format    XXX-XXX-XXX
338	zipCode	'5430133'  invalid format    
340	city	'Colorado Springs'   length is not over expected length  15
341	mobilePhone	'419588-8719'  invalid format    XXX-XXX-XXX
345	state	'MDX'  incorrect state code
347	lastName	'Rodenberger'   length is not over expected length  10
348	address	'8116 Mount Vernon Ave'   length is not over expected length  20
349	address	'8772 Old County Rd #5410'   length is not over expected length  20
349	lastName	''  Do not leave field empty.
350	dayOfBirth	'05/2/1933'  Datetime is not format    MM/dd/yyyy
352	city	'Arlington Heights'   length is not over expected length  15
356	lastName	''  Do not leave field empty.
357	lastName	''  Do not leave field empty.
360	address	'72119 S Walker Ave #63'   length is not over expected length  20
371	city	'Long Island City'   length is not over expected length  15
371	email	'sheron'  invalid format    
377	city	'Sterling Heights'   length is not over expected length  15
378	city	'Colorado Springs'   length is not over expected length  15
386	dayOfBirth	'8/26/63'  Datetime is not format    MM/dd/yyyy
386	address	'539 Coldwater Canyon Ave'   length is not over expected length  20
387	state	'AKX'  incorrect state code
390	lastName	''  Do not leave field empty.
396	zipCode	'221234'  invalid format    
399	zipCode	'274105'  invalid format    
407	email	'@yahoo.com'  invalid format    
407	lastName	''  Do not leave field empty.
416	lastName	'Hoopengardner'   length is not over expected length  10
419	address	'34 Raritan Center Pky'   length is not over expected length  20
420	lastName	''  Do not leave field empty.
421	firstName	''  Do not leave field empty.
425	zipCode	'42333155'  invalid format    
429	lastName	'Lueckenbach'   length is not over expected length  10
430	address	'9 State Highway 57 #22'   length is not over expected length  20
433	address	'105 Richmond Valley Rd'   length is not over expected length  20
434	lastName	''  Do not leave field empty.
436	mobilePhone	'483-2882'  invalid format    XXX-XXX-XXX
445	dayOfBirth	'4/14/1941'  Datetime is not format    MM/dd/yyyy
447	lastName	''  Do not leave field empty.
448	address	'2500 Pringle Rd Se #508'   length is not over expected length  20
454	state	'MIX'  incorrect state code
466	city	'Elk Grove Village'   length is not over expected length  15
468	address	'21575 S Apple Creek Rd'   length is not over expected length  20
479	address	'43496 Commercial Dr #29'   length is not over expected length  20
481	address	'50126 N Plankinton Ave'   length is not over expected length  20
486	address	'6 Ridgewood Center Dr'   length is not over expected length  20
487	lastName	'Chesterfield'   length is not over expected length  10
489	address	'3338 A Lockport Pl #6'   length is not over expected length  20
492	lastName	''  Do not leave field empty.
497	zipCode	'546514'  invalid format    
499	state	'WAX'  incorrect state code
